symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
SOL/USDT,2026-08-20 03:00:00,2026-08-20 03:20:00,LONG,2026-08-20 03:26:00,84.34,83.8835,84.7965,85.0786,2026-08-20 06:22:00,85.0786,GRID_B_FULL_TP,1.161,1.309,False,False
SOL/USDT,2026-08-20 12:05:00,2026-08-20 12:55:00,LONG,2026-08-20 13:30:00,86.91,86.3996,87.4204,87.7358,2026-08-20 13:36:00,86.3996,INITIAL_STOP,-1.136,0.0,True,False
SOL/USDT,2026-08-21 11:30:00,2026-08-21 12:40:00,LONG,2026-08-21 13:17:00,90.635,89.764,91.506,92.0442,2026-08-21 15:04:00,92.0442,GRID_B_FULL_TP,1.226,1.309,True,False
SOL/USDT,2026-08-22 14:45:00,2026-08-22 16:05:00,LONG,2026-08-22 16:12:00,93.27,92.6701,93.8699,94.2406,2026-08-22 16:40:00,94.2406,GRID_B_FULL_TP,1.185,1.309,False,False
SOL/USDT,2026-08-26 05:05:00,2026-08-26 05:25:00,LONG,2026-08-26 06:33:00,96.65,96.125,97.175,97.4994,2026-08-26 08:55:00,96.7273,BE_STOP,0.353,0.5,False,False
SOL/USDT,2026-08-27 04:30:00,2026-08-27 05:40:00,LONG,2026-08-27 06:15:00,101.13,100.5583,101.7017,102.055,2026-08-27 07:56:00,102.055,GRID_B_FULL_TP,1.167,1.309,False,False
SOL/USDT,2026-08-27 10:25:00,2026-08-27 11:05:00,LONG,2026-08-27 11:11:00,104.24,102.9436,105.5364,106.3375,2026-08-27 14:04:00,106.3375,GRID_B_FULL_TP,1.245,1.309,True,False
SOL/USDT,2026-08-28 02:50:00,2026-08-28 03:20:00,LONG,2026-08-28 03:56:00,106.71,105.7099,107.7101,108.3281,2026-08-28 07:09:00,106.7954,BE_STOP,0.415,0.5,False,False
SOL/USDT,2026-08-28 08:45:00,2026-08-28 09:10:00,LONG,2026-08-28 09:32:00,106.22,105.6407,106.7993,107.1574,2026-08-28 09:43:00,105.6407,INITIAL_STOP,-1.147,0.0,True,False
SOL/USDT,2026-08-28 14:00:00,2026-08-28 14:35:00,LONG,2026-08-28 16:01:00,104.945,103.4726,106.4174,107.3274,2026-08-28 16:24:00,103.4726,INITIAL_STOP,-1.057,0.0,True,False
SOL/USDT,2026-09-02 03:10:00,2026-09-02 04:10:00,SHORT,2026-09-02 04:21:00,100.025,100.85,99.2,98.6901,2026-09-02 09:23:00,98.6901,GRID_B_FULL_TP,1.212,1.309,False,False
SOL/USDT,2026-09-02 13:40:00,2026-09-02 14:35:00,SHORT,2026-09-02 14:40:00,99.25,99.9389,98.5611,98.1354,2026-09-02 15:19:00,99.1706,BE_STOP,0.385,0.5,True,False
SOL/USDT,2026-09-02 23:45:00,2026-09-03 00:10:00,SHORT,2026-09-03 01:13:00,100.29,100.6804,99.8996,99.6583,2026-09-03 02:31:00,100.6804,INITIAL_STOP,-1.205,0.0,False,False
SOL/USDT,2026-09-06 07:05:00,2026-09-06 08:00:00,LONG,2026-09-06 08:30:00,105.095,104.5524,105.6376,105.973,2026-09-06 09:18:00,105.973,GRID_B_FULL_TP,1.154,1.309,False,False
SOL/USDT,2026-09-06 14:20:00,2026-09-06 15:20:00,LONG,2026-09-06 15:32:00,105.59,104.7716,106.4084,106.9141,2026-09-06 19:21:00,105.6745,BE_STOP,0.397,0.5,False,False
SOL/USDT,2026-09-07 04:00:00,2026-09-07 04:20:00,LONG,2026-09-07 04:29:00,105.07,104.5824,105.5576,105.8589,2026-09-07 05:55:00,105.1541,BE_STOP,0.328,0.5,False,False
SOL/USDT,2026-09-08 16:35:00,2026-09-08 17:10:00,SHORT,2026-09-08 18:15:00,104.12,104.9962,103.2438,102.7023,2026-09-09 04:39:00,104.0367,BE_STOP,0.405,0.5,True,False
